;;Company Info;;KEY FINANCIALS;;;;;
238;Guardian Life Ins. Co. of America;9.032;6 ;13.477 US$;3,5%;US$679,8 ;46,2%;79.388 US$;-
239;Qurate Retail;25.314;-14 ;13.458 US$;-4,3%;-US$456,0 ;-149,8%;17.305 US$;2.540 US$
240;Core-Mark Holding;8.555;10 ;13.329 US$;3,3%;US$57,7 ;26,8%;1.898 US$;1.295 US$
241;Community Health Systems;71.500;-18 ;13.210 US$;-6,7%;-US$675,0 ;-;15.609 US$;394 US$
242;Kinder Morgan;11.086;-18 ;13.209 US$;-6,6%;US$2.190,0 ;36,1%;74.157 US$;31.530 US$
243;BJ's Wholesale Club;27.231;2 ;13.191 US$;1,4%;US$187,2 ;47,1%;5.270 US$;3.496 US$
244;State Street;39.103;3 ;13.131 US$;1,2%;US$2.242,0 ;-13,7%;245.610 US$;18.876 US$
245;Ameriprise Financial;12.500;4 ;13.103 US$;1,4%;US$1.893,0 ;-9,8%;151.828 US$;12.602 US$
246;Global Partners;3.860;8 ;13.082 US$;3,2%;US$35,9 ;-65,5%;2.808 US$;300 US$
247;United States Steel;27.500;-25 ;12.937 US$;-8,8%;-US$630,0 ;-156,5%;11.608 US$;1.074 US$
248;L Brands;59.950;-7 ;12.914 US$;-2,4%;-US$366,4 ;-156,9%;10.125 US$;3.197 US$
249;MGM Resorts International;72.000;17 ;12.900 US$;9,7%;US$2.049,1 ;339,0%;33.876 US$;5.814 US$
250;L3Harris Technologies;50.000;224 ;12.856 US$;108,0%;US$1.333,0 ;85,7%;38.336 US$;39.067 US$
251;DISH Network;16.000;-19 ;12.808 US$;-6,0%;US$1.399,5 ;-11,1%;33.231 US$;10.456 US$
252;Lithia Motors;14.320;13 ;12.673 US$;7,2%;US$271,5 ;2,2%;6.084 US$;1.910 US$
253;DTE Energy;10.700;-33 ;12.669 US$;-10,9%;US$1.169,0 ;4,4%;41.882 US$;18.290 US$
254;American Family Insurance Group;13.531;52 ;12.633 US$;22,2%;US$455,9 ;54,4%;31.124 US$;-
255;Farmers Insurance Exchange;10.980;15 ;12.593 US$;8,1%;US$55,3 ;-;17.457 US$;-
256;Consolidated Edison;14.890;3 ;12.574 US$;1,9%;US$1.343,0 ;-2,8%;58.079 US$;26.035 US$
257;LKQ;51.000;5 ;12.506 US$;5,3%;US$541,3 ;12,7%;12.780 US$;6.311 US$
258;Sempra Energy;13.969;11 ;12.443 US$;6,5%;US$2.197,0 ;109,4%;65.665 US$;33.037 US$
259;Edison International;12.937;-4 ;12.347 US$;-2,4%;US$1.284,0 ;-;64.382 US$;19.868 US$
260;CenterPoint Energy;14.262;39 ;12.301 US$;16,2%;US$791,0 ;114,9%;35.439 US$;7.765 US$
261;Quanta Services;40.300;22 ;12.112 US$;8,4%;US$402,0 ;37,1%;8.332 US$;4.537 US$
262;Murphy USA;7.250;-5 ;12.101 US$;-3,4%;US$154,8 ;-27,5%;2.687 US$;2.557 US$
263;Expedia Group;25.400;17 ;12.067 US$;7,5%;US$565,0 ;39,2%;21.416 US$;7.877 US$
264;Group 1 Automotive;15.296;8 ;12.044 US$;3,8%;US$174,0 ;10,3%;5.570 US$;813 US$
265;Bed Bath & Beyond;62.000;-7 ;12.029 US$;-2,6%;-US$137,2 ;-132,3%;6.571 US$;535 US$
266;Unum Group;10.300;7 ;11.999 US$;3,5%;US$1.100,3 ;110,2%;67.013 US$;3.047 US$
267;CSX;20.908;-7 ;11.937 US$;-2,6%;US$3.331,0 ;0,7%;38.257 US$;44.162 US$
268;AutoZone;75.840;13 ;11.864 US$;5,7%;US$1.617,2 ;20,9%;9.896 US$;19.756 US$
269;Pacific Life;3.815;29 ;11.847 US$;10,7%;US$725,0 ;-20,6%;171.473 US$;-
270;Vistra Energy;5.475;67 ;11.809 US$;29,1%;US$928,0 ;-;26.616 US$;7.795 US$
271;Charles Schwab;19.700;18 ;11.785 US$;7,2%;US$3.704,0 ;5,6%;294.005 US$;43.278 US$
272;Crown Holdings;33.043;12 ;11.665 US$;4,6%;US$510,0 ;16,2%;15.505 US$;7.876 US$
273;Ally Financial;8.700;30 ;11.618 US$;11,0%;US$1.715,0 ;35,8%;180.644 US$;5.403 US$
274;Laboratory Corp. of America;65.000;4 ;11.555 US$;2,0%;US$823,8 ;-6,8%;18.046 US$;12.298 US$
275;Live Nation Entertainment;18.200;17 ;11.548 US$;7,0%;US$69,9 ;16,0%;10.976 US$;9.753 US$
276;Xcel Energy;11.295;-2 ;11.529 US$;-0,1%;US$1.372,0 ;8,8%;50.448 US$;31.638 US$
277;Corning;49.500;2 ;11.503 US$;1,9%;US$960,0 ;-9,9%;28.898 US$;15.664 US$
278;W.W. Grainger;24.550;4 ;11.486 US$;2,4%;US$849,0 ;8,6%;6.005 US$;13.338 US$
279;Ball;18.300;-8 ;11.474 US$;-1,4%;US$566,0 ;24,7%;17.360 US$;21.065 US$
280;Fox;7.700;-;11.389 US$;-;US$1.595,0 ;-;19.509 US$;14.143 US$
281;Universal Health Services;79.050;12 ;11.378 US$;5,6%;US$814,9 ;4,5%;11.668 US$;8.593 US$
282;Baxter International;50.000;4 ;11.362 US$;2,4%;US$1.001,0 ;-35,3%;18.193 US$;41.180 US$
283;Norfolk Southern;24.587;-6 ;11.296 US$;-1,4%;US$2.722,0 ;2,1%;37.923 US$;37.537 US$
284;Navistar International;12.300;24 ;11.251 US$;9,8%;US$221,0 ;-35,0%;6.917 US$;1.641 US$
285;Adobe;22.634;54 ;11.171 US$;23,7%;US$2.951,5 ;13,9%;20.762 US$;153.328 US$
286;J.C. Penney;90.000;-25 ;11.167 US$;-7,1%;-US$268,0 ;-;7.989 US$;116 US$
287;Discovery;9.200;13 ;11.144 US$;5,6%;US$2.069,0 ;248,3%;33.735 US$;9.503 US$
288;Keurig Dr Pepper;25.500;121 ;11.120 US$;49,4%;US$1.254,0 ;114,0%;49.518 US$;34.148 US$
289;Leidos Holdings;34.000;22 ;11.094 US$;8,8%;US$667,0 ;14,8%;9.367 US$;13.000 US$
290;IQVIA Holdings;67.000;15 ;11.088 US$;6,5%;US$191,0 ;-26,3%;23.251 US$;20.797 US$
291;Reliance Steel & Aluminum;15.300;-16 ;10.974 US$;-4,9%;US$701,5 ;10,7%;8.131 US$;5.856 US$
292;Nvidia;13.775;-24 ;10.918 US$;-6,8%;US$2.796,0 ;-32,5%;17.315 US$;161.451 US$
293;Entergy;13.635;-5 ;10.879 US$;-1,2%;US$1.241,2 ;46,3%;51.724 US$;18.871 US$
294;FirstEnergy;12.316;-31 ;10.850 US$;-8,5%;US$912,0 ;-32,3%;42.301 US$;21.666 US$
295;eBay;13.300;-;10.800 US$;0,5%;US$1.786,0 ;-29,4%;18.174 US$;23.930 US$
296;Boston Scientific;36.000;23 ;10.735 US$;9,3%;US$4.700,0 ;181,3%;30.565 US$;45.656 US$
297;Office Depot;40.000;-12 ;10.647 US$;-4,3%;US$99,0 ;-4,8%;7.311 US$;868 US$
298;Molson Coors Beverage;17.700;-4 ;10.579 US$;-1,8%;US$241,7 ;-78,4%;28.860 US$;8.441 US$
299;Steel Dynamics;8.385;-35 ;10.465 US$;-11,5%;US$671,1 ;-46,7%;8.276 US$;4.794 US$
300;Mutual of Omaha Insurance;6.072;36 ;10.456 US$;11,9%;US$271,5 ;-2,1%;50.174 US$;-
301;Sonic Automotive;9.300;15 ;10.454 US$;5,1%;US$144,1 ;179,1%;4.071 US$;567 US$
302;Alcoa;13.800;-66 ;10.433 US$;-22,2%;-US$1.125,0 ;-595,6%;14.631 US$;1.145 US$
303;Fidelity National Information Services;55.000;58 ;10.333 US$;22,7%;US$298,0 ;-64,8%;83.806 US$;74.969 US$
304;Henry Schein;19.000;-62 ;10.305 US$;-21,9%;US$694,7 ;29,6%;7.151 US$;7.244 US$
305;Republic Services;36.000;9 ;10.299 US$;2,6%;US$1.073,3 ;3,5%;22.684 US$;23.956 US$
306;Liberty Media;6.753;74 ;10.292 US$;28,0%;US$106,0 ;-80,0%;44.189 US$;9.972 US$
307;Peter Kiewit Sons';23.000;33 ;10.283 US$;13,9%;US$419,0 ;-10,5%;5.717 US$;-
308;Interpublic Group;54.300;14 ;10.221 US$;5,2%;US$656,0 ;6,0%;17.752 US$;6.279 US$
309;PulteGroup;5.245;3 ;10.213 US$;0,2%;US$1.016,7 ;-0,5%;10.716 US$;6.015 US$
310;AES;8.000;-14 ;10.189 US$;-5,1%;US$303,0 ;-74,8%;33.648 US$;9.041 US$
311;Fiserv;44.000;177 ;10.187 US$;74,9%;US$893,0 ;-24,8%;77.539 US$;64.508 US$
312;BorgWarner;29.000;-11 ;10.168 US$;-3,4%;US$746,0 ;-19,8%;9.702 US$;5.037 US$
313;Oneok;2.882;-57 ;10.164 US$;-19,3%;US$1.278,6 ;11,0%;21.812 US$;9.015 US$
314;O'Reilly Automotive;67.663;15 ;10.150 US$;6,4%;US$1.391,0 ;5,0%;10.717 US$;22.353 US$
315;Assurant;13.900;63 ;10.087 US$;25,2%;US$382,6 ;52,4%;44.291 US$;6.218 US$
316;Newell Brands;30.000;-73 ;10.083 US$;-22,6%;US$106,6 ;-;15.642 US$;5.949 US$
317;Public Service Enterprise Group;12.992;6 ;10.076 US$;3,9%;US$1.693,0 ;17,7%;47.730 US$;22.685 US$
318;News Corp.;28.000;23 ;10.074 US$;11,6%;US$155,0 ;-;15.711 US$;5.280 US$
319;Calpine;2.256;11 ;10.072 US$;5,9%;US$770,0 ;7600,0%;16.649 US$;-
320;Auto-Owners Insurance;6.141;62 ;10.007 US$;25,1%;US$1.352,4 ;79,2%;27.135 US$;-
321;Mohawk Industries;41.800;-6 ;9.971 US$;-0,1%;US$744,2 ;-13,6%;13.387 US$;5.464 US$
322;PVH;30.750;2 ;9.909 US$;2,6%;US$417,3 ;-44,1%;13.631 US$;2.746 US$
322;Campbell Soup;19.000;27 ;9.909 US$;14,1%;US$211,0 ;-19,2%;13.148 US$;13.929 US$
324;NRG Energy;4.577;-33 ;9.871 US$;-8,6%;US$4.438,0 ;1556,0%;12.531 US$;6.830 US$
325;Fifth Third Bancorp;19.869;59 ;9.790 US$;22,8%;US$2.512,0 ;14,5%;169.369 US$;10.560 US$
326;Hertz Global Holdings;38.000;5 ;9.779 US$;2,9%;-US$58,0 ;-;24.627 US$;878 US$
327;Altice USA;10.700;-;9.761 US$;2,0%;US$138,9 ;637,7%;34.108 US$;14.110 US$
328;Newmont;16.600;91 ;9.740 US$;34,3%;US$2.805,0 ;722,6%;39.974 US$;36.577 US$
329;Cheniere Energy;1.530;54 ;9.730 US$;21,8%;US$648,0 ;37,6%;35.492 US$;8.512 US$
330;Advance Auto Parts;53.000;-4 ;9.709 US$;1,3%;US$486,9 ;14,9%;11.249 US$;6.461 US$
331;Lam Research;10.700;-44 ;9.654 US$;-12,9%;US$2.191,4 ;-7,9%;12.001 US$;34.932 US$
332;Owens & Minor;15.400;-15 ;9.650 US$;-1,9%;-US$62,4 ;-;3.643 US$;577 US$
333;Equitable Holdings;10.100;-;9.591 US$;-20,6%;-US$1.733,0 ;-195,2%;249.870 US$;6.707 US$
334;Conagra Brands;18.000;52 ;9.538 US$;20,2%;US$678,3 ;-16,1%;22.214 US$;14.291 US$
335;Markel;18.600;106 ;9.526 US$;39,2%;US$1.790,5 ;-;37.474 US$;12.787 US$
336;Jones Financial (Edward Jones);49.000;20 ;9.526 US$;10,8%;US$1.092,0 ;10,3%;19.317 US$;-
337;Hormel Foods;18.800;-9 ;9.497 US$;-0,5%;US$978,8 ;-3,3%;8.109 US$;25.082 US$
338;Hilton Worldwide Holdings;173.000;7 ;9.452 US$;6,1%;US$881,0 ;15,3%;14.957 US$;18.933 US$
339;Univar Solutions;10.300;14 ;9.444 US$;9,4%;-US$100,2 ;-158,2%;6.495 US$;1.810 US$
340;United Rentals;19.100;39 ;9.351 US$;16,2%;US$1.174,0 ;7,1%;18.970 US$;7.623 US$
341;Pioneer Natural Resources;2.323;-8 ;9.304 US$;-1,2%;US$756,0 ;-22,7%;19.067 US$;11.625 US$
342;Delek US Holdings;3.707;-35 ;9.298 US$;-9,4%;US$310,6 ;-8,7%;7.016 US$;1.190 US$
343;Eastman Chemical;14.500;-30 ;9.273 US$;-8,6%;US$759,0 ;-29,7%;16.008 US$;6.330 US$
344;EMCOR Group;36.000;31 ;9.175 US$;12,8%;US$325,1 ;14,7%;4.830 US$;3.450 US$
345;Avis Budget Group;25.600;-7 ;9.172 US$;0,5%;US$302,0 ;83,0%;23.126 US$;967 US$
346;J.B. Hunt Transport Services;29.056;8 ;9.165 US$;6,4%;US$516,3 ;5,5%;5.471 US$;9.800 US$
347;Xerox Holdings;27.000;-29 ;9.145 US$;-7,0%;US$1.353,0 ;274,8%;15.047 US$;4.030 US$
348;Wayfair;16.985;98 ;9.127 US$;34,6%;-US$984,6 ;-;2.953 US$;5.043 US$
349;KKR;1.384;177 ;9.120 US$;74,6%;US$2.005,0 ;77,3%;60.899 US$;19.913 US$
350;AGCO;20.961;-15 ;9.041 US$;-3,3%;US$125,2 ;-56,1%;7.760 US$;3.546 US$
351;Alleghany;10.786;86 ;9.041 US$;31,3%;US$857,8 ;2069,5%;26.932 US$;7.924 US$
352;Icahn Enterprises;28.033;-186 ;8.992 US$;-52,6%;-US$1.098,0 ;-172,9%;24.639 US$;10.366 US$
353;Voya Financial;6.000;-10 ;8.942 US$;0,1%;-US$351,0 ;-140,1%;169.051 US$;5.366 US$
354;Ryder System;39.900;9 ;8.926 US$;6,1%;-US$24,4 ;-108,9%;14.475 US$;1.381 US$
355;Air Products & Chemicals;17.570;-11 ;8.919 US$;-0,1%;US$1.760,0 ;17,5%;18.943 US$;44.050 US$
356;Mosaic;12.600;-31 ;8.906 US$;-7,1%;-US$1.067,4 ;-327,1%;19.299 US$;4.098 US$
357;Huntington Ingalls Industries;42.000;14 ;8.899 US$;8,8%;US$549,0 ;-34,3%;7.031 US$;7.420 US$
358;Berry Global Group;48.000;31 ;8.878 US$;12,8%;US$404,0 ;-18,5%;16.469 US$;4.463 US$
359;Anixter International;9.400;5 ;8.846 US$;5,3%;US$262,9 ;68,2%;4.809 US$;2.973 US$
360;Alaska Air Group;24.134;8 ;8.781 US$;6,3%;US$769,0 ;76,0%;12.993 US$;3.490 US$
361;Yum China Holdings;450.000;1 ;8.776 US$;4,3%;US$713,0 ;0,7%;6.950 US$;16.033 US$
362;Dick's Sporting Goods;28.450;-3 ;8.751 US$;3,7%;US$297,5 ;-7,0%;6.629 US$;1.848 US$
363;Caesars Entertainment;64.000;2 ;8.742 US$;4,2%;-US$1.195,0 ;-494,4%;25.345 US$;4.612 US$
364;Genworth Financial;3.100;-4 ;8.681 US$;3,0%;US$343,0 ;188,2%;101.342 US$;1.676 US$
365;Targa Resources;2.680;-63 ;8.671 US$;-17,3%;-US$209,2 ;-13175,0%;18.815 US$;1.611 US$
366;Coty;19.000;-32 ;8.649 US$;-8,0%;-US$3.784,2 ;-;17.665 US$;3.924 US$
367;Dana;36.300;6 ;8.620 US$;5,9%;US$226,0 ;-47,1%;7.220 US$;1.128 US$
368;Thrivent Financial for Lutherans;3.235;-17 ;8.612 US$;-0,3%;US$968,1 ;-21,5%;102.478 US$;-
369;Autoliv;61.957;-48 ;8.548 US$;-12,8%;US$461,5 ;142,4%;6.771 US$;4.017 US$
370;SpartanNash;13.800;7 ;8.536 US$;5,8%;US$5,7 ;-82,9%;2.276 US$;521 US$
371;Eversource Energy;8.234;-13 ;8.527 US$;0,9%;US$909,1 ;-12,0%;41.124 US$;25.835 US$
372;Darden Restaurants;184.514;4 ;8.510 US$;5,3%;US$713,4 ;19,7%;5.893 US$;6.580 US$
373;Chesapeake Energy;2.300;-64 ;8.489 US$;-17,0%;-US$308,0 ;-135,3%;16.193 US$;338 US$
374;National Oilwell Varco;34.645;-17 ;8.479 US$;0,3%;-US$6.095,0 ;-;13.149 US$;3.794 US$
375;Fidelity National Financial;23.484;27 ;8.469 US$;11,5%;US$1.062,0 ;69,1%;10.677 US$;6.854 US$
376;Erie Insurance Group;5.778;5 ;8.443 US$;5,1%;US$551,0 ;-19,7%;23.347 US$;-
377;Oshkosh;15.400;18 ;8.382 US$;8,8%;US$579,4 ;22,8%;5.566 US$;4.394 US$
378;Casey's General Stores;26.866;30 ;8.365 US$;11,9%;US$203,9 ;-35,9%;3.731 US$;4.875 US$
379;WESCO International;9.500;-9 ;8.359 US$;2,2%;US$223,4 ;-1,7%;5.018 US$;957 US$
380;Tractor Supply;24.000;8 ;8.352 US$;5,6%;US$562,4 ;5,6%;5.289 US$;9.810 US$
381;CommScope Holding;30.000;188 ;8.345 US$;82,7%;-US$929,5 ;-762,9%;14.432 US$;1.779 US$
382;Huntsman;10.000;-106 ;8.342 US$;-27,6%;US$562,0 ;66,8%;8.320 US$;3.217 US$
383;American Financial Group;7.700;44 ;8.237 US$;15,2%;US$897,0 ;69,2%;70.130 US$;6.331 US$
384;Masco;22.000;-18 ;8.235 US$;-1,5%;US$935,0 ;27,4%;5.027 US$;9.118 US$
385;Sanmina;38.500;44 ;8.234 US$;15,8%;US$141,5 ;-;3.906 US$;1.927 US$
386;Amphenol;74.000;-17 ;8.225 US$;0,3%;US$1.155,0 ;-4,1%;10.816 US$;21.726 US$
387;Williams;4.812;-39 ;8.201 US$;-5,6%;US$850,0 ;-;46.040 US$;17.166 US$
388;Westinghouse Air Brake;27.500;201 ;8.200 US$;87,9%;US$326,7 ;10,8%;18.944 US$;9.227 US$
389;Expeditors Intl. of Washington;18.000;-15 ;8.175 US$;0,5%;US$590,4 ;-4,5%;3.692 US$;11.208 US$
390;Andersons;2.284;364 ;8.170 US$;168,3%;US$18,3 ;-55,9%;3.901 US$;629 US$
391;Westlake Chemical;9.430;-39 ;8.118 US$;-6,0%;US$421,0 ;-57,7%;13.261 US$;4.901 US$
392;Constellation Brands;9.800;11 ;8.116 US$;7,0%;US$3.435,9 ;48,2%;29.232 US$;27.601 US$
393;Frontier Communications;18.317;-38 ;8.107 US$;-5,9%;-US$5.911,0 ;-;17.488 US$;40 US$
394;JetBlue Airways;19.032;5 ;8.094 US$;5,7%;US$569,0 ;202,7%;11.918 US$;2.526 US$
395;Citizens Financial Group;17.997;20 ;8.066 US$;9,7%;US$1.791,0 ;4,1%;165.733 US$;8.040 US$
396;Raymond James Financial;14.200;11 ;8.023 US$;7,3%;US$1.034,0 ;20,7%;38.830 US$;8.803 US$
397;Foot Locker;33.294;-12 ;8.005 US$;0,8%;US$491,0 ;-9,2%;6.589 US$;2.297 US$
398;Hershey;15.330;-7 ;7.986 US$;2,5%;US$1.149,7 ;-2,4%;8.140 US$;27.792 US$
399;Zimmer Biomet Holdings;19.900;-12 ;7.982 US$;0,6%;US$1.131,6 ;-;24.639 US$;20.891 US$
400;Cincinnati Financial;5.200;115 ;7.924 US$;46,5%;US$1.997,4 ;595,6%;25.408 US$;12.242 US$
401;Western & Southern Financial Group;2.787;20 ;7.921 US$;9,9%;US$244,9 ;-50,5%;54.703 US$;-
402;W.R. Berkley;7.493;-5 ;7.902 US$;2,7%;US$681,9 ;6,4%;26.643 US$;9.569 US$
403;Motorola Solutions;17.000;13 ;7.887 US$;7,4%;US$868,0 ;-10,1%;10.642 US$;22.803 US$
404;Thor Industries;21.750;-37 ;7.865 US$;-5,6%;US$133,3 ;-69,0%;5.660 US$;2.328 US$
405;Regeneron Pharmaceuticals;8.100;45 ;7.863 US$;17,2%;US$2.115,8 ;-13,4%;14.805 US$;53.722 US$
406;Spirit AeroSystems Holdings;18.200;14 ;7.863 US$;8,9%;US$530,1 ;-14,1%;7.606 US$;2.507 US$
407;J.M. Smucker;7.400;7 ;7.838 US$;6,5%;US$514,4 ;-61,6%;16.711 US$;12.658 US$
408;PPL;12.280;-16 ;7.769 US$;-0,2%;US$1.746,0 ;-4,4%;45.680 US$;18.950 US$
409;Insight Enterprises;11.261;21 ;7.731 US$;9,2%;US$159,4 ;-2,6%;4.178 US$;1.486 US$
410;Quest Diagnostics;47.000;-6 ;7.726 US$;2,6%;US$858,0 ;16,6%;12.843 US$;10.716 US$
411;KeyCorp;17.045;2 ;7.694 US$;4,1%;US$1.717,0 ;-8,0%;144.988 US$;10.058 US$
412;Veritiv;8.000;-65 ;7.659 US$;-11,9%;-US$29,5 ;-;2.511 US$;127 US$
413;DCP Midstream;2.250;-93 ;7.625 US$;-22,4%;US$17,0 ;-94,3%;14.127 US$;848 US$
414;American Tower;5.454;-4 ;7.580 US$;1,9%;US$1.887,8 ;52,7%;42.802 US$;96.444 US$
415;Graybar Electric;9.000;8 ;7.524 US$;4,5%;US$144,5 ;0,8%;2.518 US$;-
416;WEC Energy Group;7.509;-18 ;7.523 US$;-2,0%;US$1.134,0 ;7,1%;34.952 US$;27.799 US$
417;NVR;5.700;7 ;7.428 US$;3,3%;US$878,5 ;10,2%;3.810 US$;9.475 US$
418;Ulta Beauty;31.000;31 ;7.398 US$;10,1%;US$705,9 ;7,2%;4.864 US$;9.894 US$
419;Devon Energy;1.800;-122 ;7.372 US$;-31,3%;-US$355,0 ;-111,6%;13.717 US$;2.646 US$
420;Blackstone Group;2.905;22 ;7.338 US$;7,4%;US$2.049,7 ;32,9%;32.586 US$;30.696 US$
421;Dean Foods;14.500;-28 ;7.329 US$;-5,5%;-US$499,9 ;-;2.229 US$;10 US$
422;Fortive;25.000;-;7.326 US$;1,7%;US$738,9 ;-74,6%;17.439 US$;18.567 US$
423;UGI;12.800;-23 ;7.320 US$;-4,3%;US$256,2 ;-64,4%;13.347 US$;5.562 US$
424;Burlington Stores;47.000;27 ;7.286 US$;9,3%;US$465,1 ;12,1%;5.594 US$;10.441 US$
425;Builders FirstSource;15.800;-31 ;7.280 US$;-5,8%;US$221,8 ;8,1%;3.250 US$;1.420 US$
426;Toll Brothers;5.100;2 ;7.224 US$;1,1%;US$590,0 ;-21,1%;10.828 US$;2.440 US$
427;Old Republic International;9.000;54 ;7.214 US$;19,8%;US$1.056,4 ;185,1%;21.076 US$;4.635 US$
428;Asbury Automotive Group;8.500;11 ;7.210 US$;4,9%;US$184,4 ;9,8%;2.911 US$;1.065 US$
429;Arthur J. Gallagher;33.247;6 ;7.195 US$;3,8%;US$668,8 ;5,6%;19.635 US$;15.455 US$
430;MasTec;21.000;6 ;7.183 US$;4,0%;US$392,3 ;51,1%;4.997 US$;2.507 US$
431;Owens Corning;19.000;-;7.160 US$;1,5%;US$405,0 ;-25,7%;10.006 US$;4.201 US$
432;Magellan Health;10.100;-15 ;7.159 US$;-2,1%;US$55,9 ;131,2%;3.092 US$;1.188 US$
433;Dover;24.000;-21 ;7.136 US$;-3,5%;US$677,9 ;18,9%;8.670 US$;12.094 US$
434;Beacon Roofing Supply;8.147;30 ;7.105 US$;10,7%;-US$10,6 ;-110,8%;6.393 US$;1.138 US$
435;Avery Dennison;30.000;-10 ;7.070 US$;-1,2%;US$303,6 ;-35,0%;5.489 US$;8.485 US$
436;Hanesbrands;63.000;8 ;6.967 US$;2,4%;US$600,7 ;11,3%;7.354 US$;2.817 US$
437;Packaging Corp. of America;15.500;-5 ;6.964 US$;-0,7%;US$696,4 ;-5,6%;7.236 US$;8.236 US$
438;M&T Bank;17.386;24 ;6.941 US$;7,5%;US$1.929,1 ;0,6%;119.873 US$;13.441 US$
439;NCR;36.000;26 ;6.915 US$;8,0%;US$564,0 ;-;8.987 US$;2.287 US$
440;Northern Trust;19.800;13 ;6.895 US$;3,5%;US$1.492,2 ;-4,1%;136.828 US$;15.791 US$
441;Cintas;45.000;18 ;6.892 US$;6,2%;US$885,0 ;5,0%;7.437 US$;18.024 US$
442;Polaris;14.000;34 ;6.863 US$;11,3%;US$324,0 ;-3,4%;4.431 US$;2.959 US$
443;CMS Energy;8.459;-3 ;6.845 US$;-0,4%;US$680,0 ;3,5%;26.837 US$;16.697 US$
444;Seaboard;13.100;11 ;6.840 US$;3,9%;US$283,0 ;-;6.285 US$;3.274 US$
445;Intuit;9.400;37 ;6.784 US$;13,7%;US$1.557,0 ;28,6%;6.283 US$;59.913 US$
446;Regions Financial;19.564;1 ;6.755 US$;-0,1%;US$1.582,0 ;-10,1%;126.240 US$;8.588 US$
447;FM Global;5.591;65 ;6.743 US$;24,2%;US$2.479,3 ;1436,1%;25.054 US$;-
448;Advanced Micro Devices;11.400;12 ;6.731 US$;4,0%;US$341,0 ;1,2%;6.028 US$;53.250 US$
449;Ovintiv;2.571;-;6.726 US$;13,3%;US$234,0 ;-78,1%;21.487 US$;702 US$
450;Booz Allen Hamilton Holding;26.100;25 ;6.704 US$;8,6%;US$418,5 ;37,2%;3.832 US$;9.624 US$
451;S&P Global;22.500;19 ;6.699 US$;7,0%;US$2.123,0 ;8,4%;11.348 US$;59.042 US$
452;Rockwell Automation;23.000;-;6.695 US$;0,4%;US$695,8 ;29,9%;6.113 US$;17.533 US$
453;O-I Glass;27.500;-15 ;6.691 US$;-2,7%;-US$400,0 ;-255,6%;9.610 US$;1.109 US$
454;Wynn Resorts;30.200;-6 ;6.611 US$;-1,6%;US$123,0 ;-78,5%;13.871 US$;6.471 US$
455;Securian Financial Group;6.400;51 ;6.601 US$;20,1%;US$434,8 ;34,9%;63.138 US$;-
456;Alliance Data Systems;8.500;-66 ;6.581 US$;-15,5%;US$278,0 ;-71,1%;26.495 US$;1.603 US$
457;Weyerhaeuser;9.400;-51 ;6.554 US$;-12,3%;-US$76,0 ;-110,2%;16.406 US$;12.637 US$
457;Brighthouse Financial;1.330;-115 ;6.554 US$;-26,9%;-US$740,0 ;-185,5%;227.259 US$;2.540 US$
459;Intercontinental Exchange;5.989;10 ;6.547 US$;4,3%;US$1.933,0 ;-2,8%;94.493 US$;44.343 US$
460;American Axle & Manufacturing;20.000;-42 ;6.531 US$;-10,2%;-US$484,5 ;-;6.645 US$;408 US$
461;Hess;1.775;-;6.510 US$;0,7%;-US$408,0 ;-;21.782 US$;10.164 US$
462;ABM Industries;140.000;1 ;6.499 US$;0,9%;US$127,4 ;30,3%;3.693 US$;1.623 US$
463;Activision Blizzard;9.200;-58 ;6.489 US$;-13,5%;US$1.503,0 ;-17,1%;19.845 US$;45.753 US$
464;GameStop;30.000;-118 ;6.466 US$;-26,9%;-US$470,9 ;-;2.820 US$;226 US$
465;Apache;3.163;-54 ;6.411 US$;-13,6%;-US$3.553,0 ;-8982,5%;18.107 US$;1.577 US$
466;Science Applications International;24.311;94 ;6.379 US$;36,9%;US$226,0 ;65,0%;4.711 US$;4.317 US$
467;AK Steel Holding;9.300;-24 ;6.359 US$;-6,7%;US$11,2 ;-94,0%;4.591 US$;-
468;Dillard's;30.400;-10 ;6.343 US$;-2,5%;US$111,1 ;-34,8%;3.430 US$;864 US$
469;Ralph Lauren;18.650;4 ;6.313 US$;2,1%;US$430,9 ;164,7%;5.943 US$;4.928 US$
470;Celanese;7.714;-44 ;6.297 US$;-12,0%;US$852,0 ;-29,4%;9.476 US$;8.775 US$
471;R.R. Donnelley & Sons;36.400;-26 ;6.276 US$;-7,7%;-US$93,2 ;-;3.330 US$;68 US$
472;Zoetis;10.600;15 ;6.260 US$;7,5%;US$1.500,0 ;5,0%;11.545 US$;55.895 US$
473;Ascena Retail Group;33.000;-16 ;6.243 US$;-5,1%;-US$661,4 ;-;2.700 US$;14 US$
474;Clorox;8.800;3 ;6.214 US$;1,5%;US$820,0 ;-0,4%;5.116 US$;21.674 US$
475;Ingredion;11.000;11 ;6.209 US$;6,3%;US$413,0 ;-6,8%;6.040 US$;5.050 US$
476;First American Financial;18.412;15 ;6.202 US$;7,9%;US$707,4 ;49,1%;11.519 US$;4.791 US$
477;Graphic Packaging Holding;18.000;3 ;6.160 US$;2,3%;US$206,8 ;-6,5%;7.290 US$;3.542 US$
